year,lam
1986,1.8076540734490842
1987,0.7014551401220945
1988,0.9403473368074398
1989,1.1736317678376897
1990,1.3141837606012357
1991,1.1807257856423887
1992,1.3204616294710898
1993,1.1691205850029578
1994,0.6369337866928808
1995,0.9618371335107292
1996,0.6113341884218912
1997,0.5641248519461378
1998,2.2083443959381834
1999,0.29267088565003946
2000,1.0954330680776339
2001,1.0213687457012393
2002,0.6531220382833502
2003,0.9908968624445006
2004,0.520208273122371
2005,0.9590273991733441
2006,1.1105443972324816
2007,1.8424238624483475
2008,1.269778954182666
2009,0.9046356278920239
2010,1.358397511393517
2011,1.5017941250154372
2012,1.0080139071446252
2013,1.3411116392073863
2014,1.735161185310495
2015,1.2991683280243949
2016,0.5612903582630064
2017,1.9129775100452235
2018,0.7365624831543377
2019,2.8075804241634486
1986,1.6628067816992087
1987,0.2958759865415225
1988,1.0159435198263624
1989,0.9122568114679892
1990,1.0405714321412913
1991,1.0318488991657435
1992,1.3897427694625792
1993,2.07943010414232
1994,0.6630872731580695
1995,1.1061533081761454
1996,0.7355385217525983
1997,0.9219690510982105
1998,1.799434517745104
1999,0.30947609383019814
2000,0.9124573695799989
2001,1.162839741184788
2002,0.9957227181023538
2003,0.8733042385661592
2004,0.5188176904612113
2005,0.5190259201175709
2006,1.2226253958496032
2007,1.3935021290043497
2008,1.4506370085828666
2009,1.2973153595601656
2010,1.3166221966185723
2011,1.5860018676252692
2012,0.8490495634479673
2013,1.4243509779000223
2014,1.6165510005730457
2015,1.0678181364865706
2016,0.7349397687851819
2017,2.037689115735965
2018,0.9814262255060591
2019,1.9329497346663427
1986,2.1427845011052282
1987,0.4023586594832171
1988,1.1408817670509108
1989,0.4952594010906837
1990,0.6982122492439042
1991,1.2172093234135042
1992,1.1380125104902465
1993,2.1268437720058544
1994,0.7574654810719104
1995,0.8631760830790856
1996,0.49905656673134646
1997,0.7709174707667852
1998,1.9692229059997914
1999,0.2245737997979653
2000,1.1138750067478638
2001,0.6921719208234905
2002,0.9691448000409422
2003,1.1132629565626975
2004,0.39714429336393975
2005,0.6817370708483118
2006,1.2109140854854175
2007,1.9336439075314928
2008,1.2057621136787477
2009,1.3343918209655943
2010,0.8481028574308521
2011,1.8570357509005297
2012,0.6239317933215778
2013,1.137020685974396
2014,2.2452536240639676
2015,1.021722799600194
2016,0.8222991313926853
2017,2.066137611010044
2018,0.8550396844371223
2019,2.6096645701986536
1986,1.8987646360334005
1987,0.3247986491486912
1988,0.9992691901631512
1989,0.9760327743876811
1990,1.2114720840748128
1991,1.257550029229808
1992,0.774820375380541
1993,3.239891867662491
1994,0.7033736257838921
1995,0.9749651046347921
1996,0.5455522933752129
1997,0.6883804640270623
1998,1.7261137958071302
1999,0.3588924045803675
2000,0.7215416290502943
2001,1.4681456320114092
2002,0.885491516792157
2003,1.2600729824337922
2004,0.5663383295420481
2005,0.6712678829583062
2006,0.9322641716854374
2007,1.556044333568877
2008,1.751979926342425
2009,1.2477326403077307
2010,0.7873577123588614
2011,1.60812090472283
2012,0.6207512734849188
2013,1.3262509713208954
2014,1.4763447527899864
2015,1.0896551947849762
2016,0.7760169000388646
2017,2.07262379001519
2018,0.8577889512751943
2019,2.2505712777879237
1986,2.246896553746776
1987,0.41409734307510987
1988,0.9824027569277212
1989,0.8803014820895302
1990,1.8298194737216642
1991,1.2766096041438901
1992,0.926394203711523
1993,2.169024387638199
1994,0.713620839101581
1995,0.8806112948292255
1996,0.5676207587201894
1997,0.6856914980736506
1998,1.6882164177220178
1999,0.33871684354281684
2000,0.9976237788255922
2001,1.1403445088200528
2002,0.8360051923921691
2003,0.9689170005341418
2004,0.6210524023364237
2005,1.015161633277558
2006,1.4467102495391373
2007,1.489033219558551
2008,1.1480864543823952
2009,1.4343715324740858
2010,1.245361883870695
2011,0.9359135250780029
2012,0.8858174942807241
2013,1.1243194105775565
2014,1.4249667623928868
2015,1.2047107685754395
2016,0.7524485586094616
2017,2.3677408986982402
2018,0.8897390872733926
2019,1.744094748564625
1986,2.186150507707601
1987,0.8653920884183149
1988,0.9662861938478517
1989,1.023033650032757
1990,1.1581301131099648
1991,1.4979345928144452
1992,0.9736838345703295
1993,2.012918637415845
1994,0.9181259760033121
1995,1.0515534127741166
1996,0.4121050037654856
1997,0.776176752557534
1998,1.8954495229554684
1999,0.3765667547056609
2000,0.9036379245360276
2001,1.2464497859562915
2002,0.581459081866257
2003,1.092777876909757
2004,0.7915975522680759
2005,0.5411309828976663
2006,0.9989686074617778
2007,1.7800831619948492
2008,1.5619656973462137
2009,0.9620124716715813
2010,1.2993047519126815
2011,2.5151712458368243
2012,0.4337317861438346
2013,1.2297823580121237
2014,1.605866066007663
2015,1.0940758680464926
2016,0.8926064862856725
2017,2.279112111725446
2018,0.6230186785212868
2019,2.667925297393766
1986,1.8104657985493597
1987,0.27957340510905776
1988,1.1549253717365553
1989,0.40184534930798316
1990,1.0548370585210618
1991,0.9339730656177577
1992,1.1412296367971784
1993,2.160310382625317
1994,0.7998873615459463
1995,1.028468269992091
1996,0.9755920794201259
1997,0.936344600184454
1998,2.4302247183883328
1999,0.21649482076361842
2000,0.8630087807025398
2001,0.9665581386167199
2002,0.7955711986084546
2003,0.5809540438324823
2004,0.9969491150381463
2005,0.669260013161717
2006,1.19506703775117
2007,1.4481498075338783
2008,1.4280168466925764
2009,1.424701502175515
2010,1.2496579827625411
