year,lam
1986,2.22083178985213
1987,0.4299057659355008
1988,1.1742978438954463
1989,0.7355777949574493
1990,1.3664003217022451
1991,1.1957594937691889
1992,0.9607103124736598
1993,2.639331219878166
1994,0.7333857362741216
1995,1.1065349837638416
1996,0.38069985247611254
1997,0.8210484323120987
1998,2.004988401445194
1999,0.3428656030322525
2000,0.8354669145832964
2001,1.2805708732028072
2002,0.8383679712816261
2003,0.7601996173314204
2004,0.9934290973845983
2005,0.9068968169816461
2006,1.0883244318166958
2007,2.356476655953749
2008,1.287899387830175
2009,1.5528920863810851
2010,1.1022032851371835
2011,1.5438771999484386
2012,0.7367787396084546
2013,1.0408842833366494
2014,1.7976162077892854
2015,0.9230759696264622
2016,0.7298212507359866
1986,2.0882846655562233
1987,0.4885953102408143
1988,1.0822519387519012
1989,0.7874710707299559
1990,1.2999336395298848
1991,0.9167328348600492
1992,0.9996915558755577
1993,3.119093803502241
1994,0.6234909563415361
1995,1.1016352870330883
1996,0.4497925281130781
1997,0.6685299246946361
1998,2.144406525446295
1999,0.31548383188483436
2000,0.7476432815744366
2001,1.5094602199402483
2002,0.70835481236727
2003,0.8976465165156388
2004,0.7157293425680709
2005,0.9707751363017845
2006,1.0553658996230002
2007,1.0841264236068742
2008,1.5013738248755086
2009,1.9328332482430028
2010,0.951651455452634
2011,1.2982615256731471
2012,0.8415541029026552
2013,1.1264900516001632
2014,1.7104127619301197
2015,1.13667268086115
2016,0.42985438854383723
1986,2.0631063288059717
1987,0.4122508116656873
1988,0.932147913637582
1989,0.7706890665423672
1990,1.576523047406471
1991,1.4707014670170067
1992,1.0361762949731932
1993,2.3194675062370953
1994,0.7586469961491333
1995,0.7289882849843207
1996,0.6375667199625887
1997,0.6460318852798056
1998,1.8159524071791053
1999,0.3921415099294756
2000,0.9324180986932648
2001,0.8712732000310873
2002,0.6460956924705641
2003,0.9135693831887363
2004,0.9649956070510334
2005,0.8582469726493314
2006,1.2202415013443413
2007,1.2783612218737141
2008,1.2771881341415139
2009,1.5991488307726698
2010,1.1943250720469947
2011,1.0277317669504693
2012,0.7909107672295553
2013,1.311646640333948
2014,1.469075303680855
2015,1.1615261680481628
2016,0.42775095623142906
1986,1.6806763528433561
1987,0.5726864966468407
1988,1.2992297173234675
1989,1.0272351529472146
1990,1.6890016257765252
1991,0.9405217752865969
1992,1.0779220060982346
1993,2.7330221338550373
1994,0.6461298056230496
1995,1.0368090492265323
1996,0.9965295883052832
1997,0.8768517095572987
1998,1.8644638977652273
1999,0.21397402344030497
2000,1.24898604840554
2001,1.2953612124991012
