year,lo,mi,hi
1986,1.6961035875645853,1.9630107633318485,2.253078262102625
1987,0.30734629197236935,0.40087834918027776,0.6758159089328771
1988,0.8630795047186977,1.0322671501808776,1.207314612147517
1989,0.6297685209867628,0.8006524306117155,0.9730835514440321
1990,1.061185110794811,1.4065521889757062,1.723620739958184
1991,0.960911683932058,1.1649559473918343,1.3791805424956682
1992,0.8884971272464348,1.0368822797339257,1.2038316796864361
1993,1.8793530946159294,2.424464429727747,2.8140997652641992
1994,0.6632620019580056,0.7677615732252793,0.9262280548722929
1995,0.7900322526443365,0.934184341812514,1.0654087588783863
1996,0.482306228412432,0.6119276917701123,0.9381888204230574
1997,0.6295359750005811,0.7796821668209722,0.9893671285976186
1998,1.6268514329611368,1.9072379634070635,2.2386503928992814
1999,0.26081448330465556,0.3152019514666112,0.37384513511222117
2000,0.7841069904458021,0.9313471453889476,1.124670982275704
2001,0.7692485954481301,0.999981092935288,1.249608008408353
2002,0.6557607734727466,0.8235862145031547,0.9903450615963671
2003,0.7238265307131141,0.9140143987538126,1.076870951410321
2004,0.5951702636924161,0.7987495519209699,1.0040778199871359
2005,0.6175920934237296,0.825023686314666,1.0049743781701406
2006,0.8313525968723426,1.0025247547476441,1.1590566628968508
2007,1.2978799554653295,1.6251984523296161,2.0113412015011853
2008,1.0675027308521587,1.2997612523188462,1.5133413532977669
2009,1.1333695225434002,1.384502824263452,1.7002140083910833
2010,0.9348095858552734,1.1362444940076264,1.364506894585162
2011,1.1346492271304676,1.4028666880662928,1.7286542637533477
2012,0.5486636199235144,0.6862080196657765,0.8803198368450817
2013,1.0558547392361957,1.1881755725309575,1.3485296813104448
2014,1.4378423741296402,1.6397826360739773,1.8672246636313734
2015,1.004595444105969,1.0895484090696943,1.1843008540890827
2016,0.4292516988119693,0.5435451831982177,0.6865276026509493
