name,stage,time,middle,lower16,upper84
log_rho_init,NA,NA,-1.28045344070309,-1.7521893729481248,-0.8048115032027863
sig_rho,NA,NA,0.6051302596850764,0.46987340234389885,0.7609930269135875
z_rho,NA,NA,-0.06516364246379605,-0.7707496355221186,0.6492180450375524
z_rho,NA,NA,0.6382296787971155,-0.0834241241914993,1.355838704982343
z_rho,NA,NA,1.2380617415122934,0.5559239300129566,1.9726162588070022
z_rho,NA,NA,1.3539456822202987,0.6948779426624577,2.060417262743592
z_rho,NA,NA,0.5249986271616915,-0.13291160795112372,1.2322670315526099
z_rho,NA,NA,0.9155428179963703,0.21800913330765467,1.6082353036926818
z_rho,NA,NA,0.07421117688447623,-0.6481423514007493,0.805527105547287
z_rho,NA,NA,-0.76424419965045165,-1.448955282015912,-0.0829498889198995
z_rho,NA,NA,-1.0989806011631689,-1.8206837694707196,-0.4028197323912614
z_rho,NA,NA,-1.2013849174894768,-1.9302127363196209,-0.5235748301312185
z_rho,NA,NA,-0.21527770188611328,-0.9780092934601726,0.48773966969360916
z_rho,NA,NA,-0.2426403793732485,-0.9409221224064905,0.4646990525643619
z_rho,NA,NA,0.15773094813738875,-0.5352918254055429,0.850375193324008
z_rho,NA,NA,0.7918630878138608,0.0896810881603261,1.4712716992360106
z_rho,NA,NA,-0.08218715854340342,-0.7439171278853947,0.6211738849138609
z_rho,NA,NA,0.5791031935473328,-0.11851193007968236,1.2675831691432942
z_rho,NA,NA,-0.0578923562066538,-0.739268192652861,0.5992164904747235
z_rho,NA,NA,-0.29428603187301944,-0.9770371138937283,0.4021854865441511
z_rho,NA,NA,0.016162698875694333,-0.6903060373129464,0.7212302929623591
z_rho,NA,NA,0.20064111242411964,-0.47469610150917824,0.8957268697115357
z_rho,NA,NA,-0.603499128343219,-1.288323434610796,0.09606871598917846
z_rho,NA,NA,-0.13923550438818738,-0.8256747838587327,0.559959715051495
z_rho,NA,NA,-0.9213906816137045,-1.6029974543337993,-0.19659587946579649
z_rho,NA,NA,-0.3883929079273801,-1.120061604631052,0.30903471393443555
z_rho,NA,NA,-1.1181445527493976,-1.7869119395021626,-0.4399689671457735
z_rho,NA,NA,0.20936739118236805,-0.4944316957884326,0.8934815513364172
z_rho,NA,NA,0.932156992947619,0.22151742301816504,1.601551765680815
z_rho,NA,NA,-0.36153818222256984,-1.0397148500450069,0.32952156031162394
z_rho,NA,NA,-0.47183247670042383,-1.2228141262631316,0.28637713107639357
z_rho,NA,NA,-0.04484847983404839,-1.0154741981836666,0.9782500865827206
logit_phi_init,2,NA,0.2966707785998906,-0.28872212663100627,0.9411598756101188
logit_phi_init,3,NA,-0.6128346390215564,-1.3892066469260729,0.1462463837674029
logit_phi_init,4,NA,-0.16378041218451347,-0.900444899524791,0.6214849123601283
sig_phi,NA,NA,0.4762376627274384,0.3507260879076463,0.6429271426214143
z_phi,NA,NA,-0.12134948234509828,-1.0431317328575749,0.7941396328523505
z_phi,NA,NA,-0.24711127438537245,-1.1847989659120435,0.6919248015925952
z_phi,NA,NA,-0.518225196325345,-1.4212038435086325,0.3862676176054324
z_phi,NA,NA,-0.19506104551087755,-1.1301891765945073,0.6884056981770449
z_phi,NA,NA,0.1856897048806455,-0.7798918896979844,1.0894561177925681
z_phi,NA,NA,-0.1206075105141767,-1.0734164275550757,0.834811257288311
z_phi,NA,NA,0.033728562151313535,-0.9099005806947003,0.9436770140172736
z_phi,NA,NA,-0.38855386345998355,-1.328952765116002,0.5136665943190553
z_phi,NA,NA,-0.34508355821607517,-1.2063632709658303,0.5265410935271687
z_phi,NA,NA,-0.31600769328378475,-1.1838512969549055,0.5815111247335869
z_phi,NA,NA,-0.20781580548264245,-1.114674375116561,0.6729369971835575
z_phi,NA,NA,-0.20597277293998234,-1.0794835317570757,0.6919466820799145
z_phi,NA,NA,-0.14911648914594333,-1.0286047252533022,0.7661514671496635
z_phi,NA,NA,0.29492520171501757,-0.6099597280108436,1.146180006114603
z_phi,NA,NA,0.1921712501118475,-0.7069217986621539,1.0967233162258028
z_phi,NA,NA,0.1417997649481944,-0.776911217506239,1.0186914419740434
z_phi,NA,NA,0.002204368542839471,-0.884020186488003,0.9169513477779605
z_phi,NA,NA,0.5003828129277388,-0.4207409853269919,1.4125997283144667
z_phi,NA,NA,0.22647211080715263,-0.6797714463959406,1.147250487481332
z_phi,NA,NA,0.3643741617191557,-0.5574683140023885,1.2804903763800437
z_phi,NA,NA,0.8255760091454248,-0.15016342515371556,1.787642388439079
z_phi,NA,NA,0.3183351045393671,-0.6020429872351487,1.2802997114763297
z_phi,NA,NA,0.24292504479863603,-0.6603552373400932,1.1801828432109787
z_phi,NA,NA,0.17613694458378268,-0.7701981493146386,1.06377948203031
z_phi,NA,NA,0.13220825805669956,-0.7804004700288907,1.047301661275459
z_phi,NA,NA,0.0801608710975007,-0.848240552991277,0.9978798913135731
z_phi,NA,NA,0.060126571684958136,-0.8702220537667467,0.9781728464759707
z_phi,NA,NA,0.13628457570077662,-0.7835629348019869,1.1102752211335125
z_phi,NA,NA,0.031942816106357186,-0.9706604850451582,0.983050194385172
z_phi,NA,NA,-0.11229997362266957,-1.0846921669591418,0.9197424611869343
z_phi,NA,NA,-0.17111682761961403,-1.0854008458326052,0.7511136306916133
z_phi,NA,NA,-0.3575244740452852,-1.3152417279177488,0.60851054749722
z_phi,NA,NA,-0.5553653431705641,-1.4860130360858925,0.37924709723011646
z_phi,NA,NA,-0.4362863188533679,-1.3529900787832458,0.5054915919756215
