name,lower16,middle,upper84
rec,0,0,0
s21,0,0,0
s32,-0.029942886944206114,0.016970267516783544,0.12259716729316317
s43,0.532882937622555,0.7075903732953535,0.9191344995888003
s44,0.07149377143426908,0.25454575601797286,0.4391640060373819
