var,lo,mi,hi,n_eff,Rhat
lr0,0.9281940726803863,1.4602108167058971,2.120962942528573,972.0552508487689,1.0050072441871032
ls0[1],-0.48808306414720565,0.4199120346963941,1.3163338081704006,2084.718012299348,1.0014721586834503
ls0[2],-0.393752061854362,0.39972193405625844,1.2525028302290224,2081.3681611224,1.0003249129579115
ls0[3],-0.450410217733719,0.32017948771685933,1.167872362417605,2190.1646211446623,1.0014162349197786
ls0[4],-2.020775428203594,-1.8658669036913689,-1.717727428101134,3659.5287818282286,0.9997167215022726
x0[1],0.5801205848350406,1.0036975878512715,1.9750681697415764,966.8707578738707,1.004543751686229
x0[2],0.22216797950203027,0.3364192774250387,0.5783276985959404,1008.395431185621,1.0011972648418919
x0[3],0.07223747436427218,0.1063229202208738,0.1694837759362827,1214.2029044670192,1.0003746353127898
x0[4],0.13029400691339846,0.1868073125040573,0.3000855911313812,1168.1885622885243,1.0043449377668738
p[1],0.045390127713652514,0.08821847275419309,0.1539607497468525,920.4133975442222,1.0014679468160905
p[2],0.24659914180079834,0.4244997288693078,0.6387022498123759,963.8990560716513,1.0013051405394808
p[3],0.27743330683789535,0.44361632758667946,0.6376665614767525,1266.5910023101712,1.0013926106141526
p[4],0.29472548841374924,0.4775375133766594,0.6814977109931588,1274.8982124894167,1.0055554353608465
theta,0.4384680449191188,0.45111646904700586,0.46393097704014197,3758.760775157493,1.0000661398266846
lr[1],0.9281940726803863,1.4602108167058971,2.120962942528573,972.0552508487689,1.0050072441871032
r[1],2.529936288851901,4.306867464112813,8.339173609280467,931.950491521775,1.0061051573954674
"ls[1,1]",-0.48808306414720565,0.4199120346963941,1.3163338081704006,2084.718012299348,1.0014721586834503
"ls[2,1]",-0.393752061854362,0.39972193405625844,1.2525028302290224,2081.3681611224,1.0003249129579115
"ls[3,1]",-0.450410217733719,0.32017948771685933,1.167872362417605,2190.1646211446623,1.0014162349197786
"ls[4,1]",-2.020775428203594,-1.8658669036913689,-1.717727428101134,3659.5287818282286,0.9997167215022726
"s[1,1]",0.38034525538129865,0.6034621999098899,0.7885711010625844,1964.2870422134438,1.001888716110543
"s[2,1]",0.40281439652312095,0.5986208498661196,0.7777328115238624,1738.6587072658276,1.0003782124849114
"s[3,1]",0.3892632382923293,0.5793679940292633,0.7627602156217795,2107.991296337751,1.001280749455688
"s[4,1]",0.11703883435441892,0.13402068298344821,0.15216411691561693,3753.985132097141,0.9996928705145735
"x[1,1]",0.5801205848350406,1.0036975878512715,1.9750681697415764,966.8707578738707,1.004543751686229
"x[1,2]",0.4902228391413411,0.8511128974502353,1.6599013607054982,941.9612975050534,1.0047976629584376
"x[1,3]",0.2163175039807186,0.37728895746927116,0.7349504661776679,950.9089716827575,1.0044526067651665
"x[1,4]",0.30436737362089816,0.5244011364346202,1.02970468322453,955.337906370243,1.0047948374766973
"x[1,5]",0.4894042588434213,0.8489741348153959,1.6595314926872984,962.9140785924637,1.0045749094232033
"x[1,6]",0.4452625444080034,0.7729252670849455,1.5117901056048344,944.4233185886033,1.0047691002134123
"x[1,7]",0.22835968736605883,0.39774308622942667,0.7738661139940548,952.7640192619948,1.0045346777740196
"x[1,8]",0.2669560411633642,0.4599679877994771,0.8984778255377966,953.0170871733635,1.0047736355655896
"x[1,9]",0.4149443397849476,0.7203735045995315,1.399112514898821,959.9089314512582,1.0045988154128065
"x[1,10]",0.40073362100586096,0.6936068283090098,1.3549546977331282,945.9142101553446,1.0047471789957623
"x[1,11]",0.2310209410252097,0.40162215456635897,0.7827802274715858,955.9506345165752,1.0045717893717787
"x[1,12]",0.2372560643077015,0.4098399030927978,0.8001321676681867,953.4091652440032,1.0047545937080538
"x[1,13]",0.35274938709950643,0.6124968840357282,1.1861998244698333,957.8420022655181,1.00461695383343
"x[1,14]",0.35726992998234236,0.6205597680604481,1.204152143179984,946.7610741964899,1.0047301175722492
"x[1,15]",0.22661058586540542,0.39354272662301937,0.7671563695552218,958.6748447138228,1.004590583130642
"x[1,16]",0.21450306663976648,0.3703993644706711,0.7245287432930472,954.8610720931117,1.0047365262371715
"x[1,17]",0.30223861947785535,0.5243985001622684,1.0137528558854847,956.6306282263794,1.0046307035946291
"x[1,18]",0.3168638413777416,0.5511401827601402,1.0673524359423228,948.2789200133071,1.0047163310056635
"x[1,19]",0.2175929344123164,0.37876478559389226,0.736844590163615,960.6280372554213,1.0046011978931977
"x[1,20]",0.19523614920011623,0.3379005882193169,0.661588888854085,957.0456570350406,1.0047184151151602
"x[1,21]",0.2603577213437037,0.4512893352282069,0.873640567029775,956.1682964792445,1.004641081803637
"x[1,22]",0.28047559874328415,0.4870721546405099,0.9431021538005713,949.6170854232392,1.004704633728394
"x[1,23]",0.20573150270305493,0.3581944611054182,0.6949737866506169,961.9243764145284,1.004607640284036
"x[1,24]",0.17823886349380363,0.30949892725554223,0.6054625903241991,959.642105496032,1.0047000381862026
"x[1,25]",0.22559766302949696,0.3909298498492859,0.7564831303275946,956.3550041399043,1.004648632514784
"x[1,26]",0.2480835169738465,0.4293398458179204,0.832916002727586,950.9189387903784,1.0046942177839453
"x[1,27]",0.1925284514704135,0.3346194298513581,0.6488740113862539,962.7782691933218,1.0046114800605614
"x[1,28]",0.1639555737116462,0.2848476572795441,0.5576620222141182,962.3697466856338,1.0046817436335542
"x[1,29]",0.1970385105925644,0.3416011044825493,0.6597587329135652,957.1089200018474,1.0046534810367487
"x[1,30]",0.21930929660121268,0.3787712776919252,0.7292706775839404,952.3046135084326,1.0046845567520504
"x[1,31]",0.17816400444630717,0.30936054561190074,0.6040460977813896,963.4000057268867,1.0046132972523634
"x[1,32]",0.15116639596740813,0.26176727711477366,0.5119704221545802,965.0233206089933,1.004664030002262
"x[1,33]",0.17325236388062443,0.3002734937163377,0.579763753675707,958.3634631641808,1.0046555015689311
"x[1,34]",0.193317081141502,0.33377965725529024,0.644032408940875,953.8440887609526,1.0046752985374472
"x[1,35]",0.16364673009555594,0.2836039545460611,0.5546918206442406,963.9636015224016,1.004613285847368
