name,lower16,middle,upper84,Rhat_max,div,sim
sig_obs,0.2796898974027744,0.30797495613310755,0.3526424137609548,1.0238788671855519,0.024,1
sig_obs_sd,0.6135555713104364,0.6784902286650387,0.7740242224852446,1.0238788671855519,0.024,1
sig_phi,0.3506417571380755,0.8870572587193215,1.8351469502689883,1.0238788671855519,0.024,1
sig_rho,0.4502453046068982,0.6793003543881925,0.908811468087855,1.0238788671855519,0.024,1
sig_obs,0.23380852342244932,0.2637274330481486,0.29085740483532696,1.0286278473213624,0.004,2
sig_obs_sd,0.5295356928317061,0.5950978453054822,0.6581439714914948,1.0286278473213624,0.004,2
sig_phi,0.7648352608247921,1.6151971510731873,2.938934998047353,1.0286278473213624,0.004,2
sig_rho,0.7283205812885618,0.8337624052413124,1.066649195457077,1.0286278473213624,0.004,2
sig_obs,0.12362793074458377,0.13765117233798302,0.15156234084207926,1.0220180743502614,0,3
sig_obs_sd,0.5338977363407564,0.5952440758828014,0.6542005654380866,1.0220180743502614,0,3
sig_phi,0.9144350667326152,1.3266028622096457,1.8942600491786963,1.0220180743502614,0,3
sig_rho,0.6976886293555296,0.8733995138094063,1.0680160981995044,1.0220180743502614,0,3
sig_obs,0.5051540409097157,0.5573375839501375,0.6079008646401578,1.0011208185474951,0,4
sig_obs_sd,0.6672546175073674,0.7361160871363426,0.8030556400842475,1.0011208185474951,0,4
sig_phi,0.011769767684628566,0.1657157498841822,0.5645154518007559,1.0011208185474951,0,4
sig_rho,0.5166387044447944,0.6765633249978671,0.863687119453594,1.0011208185474951,0,4
sig_obs,0.26800660912627333,0.294598410909415,0.32831994867673503,0.9986517560807333,0,5
sig_obs_sd,0.6556856772801897,0.7202616262939556,0.8032593098550074,0.9986517560807333,0,5
sig_phi,0.7277042967466479,1.00126064906504,1.405086328058547,0.9986517560807333,0,5
sig_rho,0.17768346211139122,0.3402915385773122,0.5379545716403875,0.9986517560807333,0,5
sig_obs,0.2999751709497789,0.31816972805920735,0.3663614706857006,1.0094101252370482,0,6
sig_obs_sd,0.6246832661271673,0.6621429257981711,0.7629606132602421,1.0094101252370482,0,6
sig_phi,0.4203133669471138,0.7706542905336418,1.3171458597320254,1.0094101252370482,0,6
sig_rho,0.6991043050877334,0.9204827091873622,1.1478359816295305,1.0094101252370482,0,6
sig_obs,0.28970457012678996,0.32077070698114274,0.34630504289944636,1.0174961736238293,0.05,7
sig_obs_sd,0.632389982083475,0.7002455380523731,0.75592368486552,1.0174961736238293,0.05,7
sig_phi,0.00875979242389128,0.11818231305039367,0.36749805180527256,1.0174961736238293,0.05,7
sig_rho,0.6240732596857084,0.8433324459950103,0.9716411778200927,1.0174961736238293,0.05,7
sig_obs,0.2829097242892426,0.3239639523041112,0.358995543795504,1.0148519770991347,0.004,8
sig_obs_sd,0.44367046442460967,0.5077005702799507,0.5626821499430631,1.0148519770991347,0.004,8
sig_phi,0.38559059006309654,0.5960675445867547,0.9440434269329225,1.0148519770991347,0.004,8
