name,lower16,middle,upper84,Rhat_max,div,sim
sig_obs,0.554239418221269,0.6000742911238128,0.6390395512621964,1.0149213477118764,0,76
sig_obs_sd,0.6503495836606206,0.703507602361929,0.7500129826785183,1.0149213477118764,0,76
sig_phi,-0.0023108623315452655,0.06011535267790902,0.2249310442453148,1.0149213477118764,0,76
sig_rho,-0.0035458308996752317,0.019903671978120895,0.14363561492554733,1.0149213477118764,0,76
sig_obs,0.4618768579145069,0.5008953100501657,0.5453409177282624,1.0409107853499746,0.002,77
sig_obs_sd,0.5612946075841004,0.6083267070292822,0.6627273503152942,1.0409107853499746,0.002,77
sig_phi,-0.008604123906118597,0.042479337697497455,0.22318209720794502,1.0409107853499746,0.002,77
sig_rho,0.09347778064066652,0.18246269007068225,0.2989944340914547,1.0409107853499746,0.002,77
sig_obs,0.4693298259716489,0.506930272435553,0.5546947716593533,0.9992168438729175,0,78
sig_obs_sd,0.5209145966843175,0.5624297561400586,0.6157538210935938,0.9992168438729175,0,78
sig_phi,0.00821893214127336,0.19651254394283588,0.525095436577517,0.9992168438729175,0,78
sig_rho,0.016631008299069536,0.0976691460344907,0.19384830925765303,0.9992168438729175,0,78
sig_obs,0.4519986707636298,0.49249063817174565,0.5353251696643618,1.0021974743514956,0,79
sig_obs_sd,0.5847717848424399,0.6374036731995976,0.692546181918568,1.0021974743514956,0,79
sig_phi,-0.007958893581771613,0.037957108757634396,0.23436196038172924,1.0021974743514956,0,79
sig_rho,0.012309569188408347,0.07799821065729115,0.2418859917097691,1.0021974743514956,0,79
sig_obs,0.4952020329371703,0.5484071297432215,0.5794565421442103,1.0586593284935093,0.01,80
sig_obs_sd,0.5057852969364334,0.5601175391378972,0.5918426305633769,1.0586593284935093,0.01,80
sig_phi,-0.009175824016442683,0.04379198600447608,0.19238962724836114,1.0586593284935093,0.01,80
sig_rho,-0.0035722075182260007,0.03400972948468293,0.21544183040485604,1.0586593284935093,0.01,80
sig_obs,0.48420374454155524,0.523025965457627,0.5626190474298084,1.0031024198236522,0.012,81
sig_obs_sd,0.6454570681678428,0.6977240040731739,0.7499713418054557,1.0031024198236522,0.012,81
sig_phi,-0.004902284061172202,0.03782030976292809,0.14458096767374376,1.0031024198236522,0.012,81
sig_rho,-0.0016506240105274785,0.014116219453420186,0.09609847594345276,1.0031024198236522,0.012,81
sig_obs,0.45334604358548536,0.4877577193265445,0.5384861871967566,1.00895200051583,0.01,82
sig_obs_sd,0.555210522949305,0.598725278853069,0.65930776100779,1.00895200051583,0.01,82
sig_phi,-0.01620905164086976,0.1381887902514003,0.7593776758575047,1.00895200051583,0.01,82
sig_rho,-0.0015789409452480502,0.024154907438671984,0.1548466567062921,1.00895200051583,0.01,82
sig_obs,0.4604279859899867,0.4980404055268185,0.5350756767101632,1.0021188100057663,0.004,83
sig_obs_sd,0.5697613083636056,0.6157700894358822,0.6619733175484949,1.0021188100057663,0.004,83
sig_phi,-0.0021332518304065873,0.02006021751407479,0.11829115682691813,1.0021188100057663,0.004,83
sig_rho,-8.958447432096991e-4,0.011387390490617589,0.07675715882925888,1.0021188100057663,0.004,83
sig_obs,0.4949237678615392,0.5433666550254024,0.5886499555630819,1.0069566335796545,0.024,84
sig_obs_sd,0.5921782175599747,0.6500834983731194,0.7043632533632455,1.0069566335796545,0.024,84
sig_phi,-0.012866325116965407,0.03311426347916027,0.21430084253045875,1.0069566335796545,0.024,84
sig_rho,-1.4794695325396267e-5,0.03544213278495016,0.13925175333405795,1.0069566335796545,0.024,84
sig_obs,0.5041194836524764,0.5587462744217406,0.5968519211507289,1.006433555886661,0.016,85
sig_obs_sd,0.6029884569448442,0.6682441490994779,0.7140969140484686,1.006433555886661,0.016,85
sig_phi,-0.006989946169081935,0.034654298309469006,0.17817169927453846,1.006433555886661,0.016,85
sig_rho,0.03290602892272743,0.09989142293066544,0.28147350284355954,1.006433555886661,0.016,85
sig_obs,0.509314314171163,0.5368560179981005,0.608003746972042,1.0084998754192145,0,86
sig_obs_sd,0.5993800608200597,0.6327090870188372,0.7155028914467988,1.0084998754192145,0,86
sig_phi,-0.11915954798461945,0.16403667241801712,1.5538566161068705,1.0084998754192145,0,86
sig_rho,-6.247057805593567e-4,0.02080152701341822,0.10837582909322611,1.0084998754192145,0,86
sig_obs,0.44909739534174914,0.4902999841554332,0.5316194002256229,1.0030455937907612,0.008,87
sig_obs_sd,0.48780446300187835,0.5324936824422841,0.5774429877908275,1.0030455937907612,0.008,87
sig_phi,0.008130099251960534,0.06513021819148805,0.25974315544991533,1.0030455937907612,0.008,87
sig_rho,-0.0018436682439244693,0.01940230886985846,0.08356914297958377,1.0030455937907612,0.008,87
sig_obs,0.4831432064711518,0.5100947969478187,0.572018339007895,1.0014356929381378,0.01,88
sig_obs_sd,0.6093217113072754,0.6443006283835381,0.7217077610099196,1.0014356929381378,0.01,88
sig_phi,-0.00693522456922052,0.06033468559811357,0.3032915478805571,1.0014356929381378,0.01,88
sig_rho,-0.0013307358323915934,0.01354595806143254,0.0819018419964135,1.0014356929381378,0.01,88
sig_obs,0.4371797815722844,0.46416473236916717,0.5051826963972328,1.0377652004296747,0,89
sig_obs_sd,0.5659874531640994,0.6011746694068878,0.6539940125142608,1.0377652004296747,0,89
sig_phi,-0.0014304734297055821,0.043583597802660426,0.12440156303645304,1.0377652004296747,0,89
sig_rho,0.0017424450525576152,0.028486914486569606,0.11043344231764969,1.0377652004296747,0,89
sig_obs,0.4506887337770391,0.4835198630177955,0.525970940169224,1.0196762543576716,0,90
