year,name,lower16,middle,upper84,type
1986,e_rec,0.16199297511788366,0.19963616744522628,0.2222899895552936,elasticity
1986,e_s21,0.16199297511788313,0.19963616744522633,0.22228998955529355,elasticity
1986,e_s32,0.16199297511788327,0.19963616744522628,0.22228998955529344,elasticity
1986,e_s43,0.16199297511788355,0.19963616744522633,0.22228998955529336,elasticity
1986,e_s44,0.11563221495375851,0.20145533021909456,0.36881049774464875,elasticity
1986,lambda,0.8130752118341926,0.9090100116172776,1.0412440446056603,lambda
1986,s_rec,0.06940805440516638,0.10018598418779723,0.14757885338160276,sensitivity
1986,s_s21,0.14021122282837165,0.1778685616139571,0.2146702149942839,sensitivity
1986,s_s32,0.23873991054498495,0.31127865159558876,0.4114479082988418,sensitivity
1986,s_s43,0.38633341099993423,0.5104627572297222,0.7294516444644128,sensitivity
1986,s_s44,0.336724161215319,0.401091497664321,0.5266078733084865,sensitivity
1987,e_rec,0.15248871825385843,0.19737447985999096,0.2221189560960202,elasticity
1987,e_s21,0.1524887182538582,0.1973744798599908,0.22211895609601964,elasticity
1987,e_s32,0.15248871825385849,0.1973744798599906,0.22211895609602014,elasticity
1987,e_s43,0.1524887182538586,0.19737447985999057,0.22211895609602023,elasticity
1987,e_s44,0.1189692511434221,0.210502080560037,0.40793955064009535,elasticity
1987,lambda,0.8027131785610884,0.8927192894855158,1.0044989934205986,lambda
1987,s_rec,0.06855579472552409,0.1043180954944363,0.1512258421157432,sensitivity
1987,s_s21,0.1301409429627031,0.17280606046863295,0.20942411781881856,sensitivity
1987,s_s32,0.22337581774907425,0.30486069512615044,0.4101782734725543,sensitivity
1987,s_s43,0.37958861913513403,0.5125421558964138,0.7264525451791222,sensitivity
1987,s_s44,0.33922693835756645,0.4078765604200278,0.5559546629800717,sensitivity
1988,e_rec,0.15893942776795017,0.20182589696337955,0.22607229958769204,elasticity
1988,e_s21,0.1589394277679502,0.20182589696337994,0.22607229958769226,elasticity
1988,e_s32,0.15893942776795034,0.20182589696337994,0.22607229958769212,elasticity
1988,e_s43,0.15893942776795017,0.20182589696337988,0.2260722995876922,elasticity
1988,e_s44,0.1013226026974762,0.19269641214648053,0.38874378434613766,elasticity
1988,lambda,0.8377696333592077,0.928280859577582,1.0359586256015625,lambda
1988,s_rec,0.04988134928815597,0.07391147394902055,0.10861515655452314,sensitivity
1988,s_s21,0.14134765634993104,0.18239153374268502,0.21996823167636742,sensitivity
1988,s_s32,0.24712077067472812,0.34502834132035703,0.4835803029708468,sensitivity
1988,s_s43,0.4516406792908706,0.6064754785220793,0.8937722486243227,sensitivity
1988,s_s44,0.3259919520231071,0.3945223091098602,0.541557838259603,sensitivity
1989,e_rec,0.1740316791248979,0.21055962281599755,0.2311967370176511,elasticity
1989,e_s21,0.17403167912489786,0.21055962281599755,0.23119673701765114,elasticity
1989,e_s32,0.17403167912489798,0.21055962281599738,0.2311967370176511,elasticity
1989,e_s43,0.1740316791248977,0.21055962281599738,0.23119673701765087,elasticity
1989,e_s44,0.08104380671902614,0.15776150873601005,0.3180824545412178,elasticity
1989,lambda,0.8972965254552604,1.0043818377884062,1.1132766523985285,lambda
1989,s_rec,0.026137367903711316,0.04001881257825993,0.06020979948577388,sensitivity
1989,s_s21,0.16254385475240513,0.20686404316964702,0.2451909840721247,sensitivity
1989,s_s32,0.30872969633995295,0.44046629218775113,0.6384746783332171,sensitivity
1989,s_s43,0.5814274468286822,0.8753678839587675,1.349178674945569,sensitivity
1989,s_s44,0.31078285503926945,0.3683211315520074,0.4885618409059135,sensitivity
1990,e_rec,0.18798243811154333,0.21898154571605538,0.236081046921624,elasticity
1990,e_s21,0.18798243811154353,0.2189815457160552,0.23608104692162418,elasticity
1990,e_s32,0.18798243811154358,0.2189815457160553,0.23608104692162424,elasticity
1990,e_s43,0.1879824381115437,0.21898154571605527,0.23608104692162424,elasticity
1990,e_s44,0.05981250786048222,0.12407381713577864,0.26281757837111575,elasticity
1990,lambda,1.0081224818419046,1.1360948770492354,1.2768777543050156,lambda
1990,s_rec,0.013336200720959672,0.020063929526763547,0.03058321726628757,sensitivity
1990,s_s21,0.1963862261868767,0.24688664458719506,0.29233908730224506,sensitivity
1990,s_s32,0.38947731979616734,0.5513467334167663,0.8459711480348013,sensitivity
1990,s_s43,0.7881968512838835,1.1959508732169732,1.990608986077465,sensitivity
1990,s_s44,0.2948593808953616,0.34305536285183413,0.44711318377833686,sensitivity
1991,e_rec,0.18892889583970013,0.21995399209154376,0.23672169437413865,elasticity
1991,e_s21,0.18892889583970054,0.219953992091544,0.23672169437413884,elasticity
1991,e_s32,0.18892889583970005,0.21995399209154404,0.2367216943741388,elasticity
1991,e_s43,0.18892889583969974,0.2199539920915442,0.23672169437413884,elasticity
1991,e_s44,0.056567742182526345,0.12018403163382385,0.2614228662728477,elasticity
1991,lambda,1.0722150017930285,1.2235952780766726,1.392671481254041,lambda
1991,s_rec,0.0107503659747289,0.015962471899861004,0.02389540171320319,sensitivity
1991,s_s21,0.20607880298914458,0.26795681881808386,0.32037629077933805,sensitivity
1991,s_s32,0.40358457370167633,0.5750693589299383,0.812346223184279,sensitivity
1991,s_s43,0.9311995070945331,1.3869769361693,2.2650963731772866,sensitivity
1991,s_s44,0.2924258066368943,0.340138023725368,0.4460671497046358,sensitivity
1992,e_rec,0.19675314488173976,0.22241038082862888,0.23827309896691146,elasticity
1992,e_s21,0.19675314488173945,0.22241038082862868,0.23827309896691148,elasticity
1992,e_s32,0.1967531448817391,0.2224103808286289,0.23827309896691143,elasticity
